Constituency,Caste Category,Winner_Political_Party,Winner_Votes,RunnerUp_Political_Party,RunnerUp_Votes,Margin_Winner_VS_RunnerUp_Votes,Others_Votes,Total_Votes_Pooled,Total_Electors,Margin_Electors_VS_Pooled,Religion_won,,,,,,,,,
Dhubri,SC,BharatiyaJanataParty,249322,INC,226528,22794,29332,505182,552331,47149,Hindu,,,,,,,,,
Dhule,ST,BharatiyaJanataParty,345468,INC,312857,32611,34600,692925,732648,39723,Hindu,,,,,,,,,
DiamondHarbour,GEN,PattaliMakkalKatchi,397540,BharatiyaJanataParty,181450,216090,28490,607480,648787,41307,Hindu,,,,,,,,,
Dibrugarh,GEN,BharatiyaJanataParty,385084,INC,302006,83078,36579,723669,751261,27592,Hindu,,,,,,,,,
Dindigul,GEN,BharatiyaJanataParty,442759,INC,297647,145112,27335,767741,785816,18075,Hindu,,,,,,,,,
Dindori,GEN,BijuJanataDal,423539,INC,300657,122882,22673,746869,799317,52448,Others,,,,,,,,,
Domariyaganj,GEN,INC,376588,AsomGanaParishad,259966,116622,21327,657881,702253,44372,Christian,,,,,,,,,
DumDum,ST,INC,210714,BharatiyaJanataParty,202949,7765,34860,448523,506018,57495,Christian,,,,,,,,,
Dumka,GEN,CommunistPartyof,430890,AllIndiaTrinamool,277106,153784,28723,736719,774228,37509,Muslim,,,,,,,,,
Durg,GEN,AsomGanaParishad,220944,BharatiyaJanataParty,202390,18554,31842,455176,475147,19971,Others,,,,,,,,,
EastDelhi,GEN,INC,407116,AllIndiaAnnaKazhagam,251945,155171,22780,681841,730674,48833,Hindu,,,,,,,,,
Eluru,ST,BharatiyaJanataParty,228154,INC,227793,361,24210,480157,497526,17369,Hindu,,,,,,,,,
Ernakulam,GEN,BahujanSamajParty,202544,INC,149642,52902,31506,383692,398939,15247,Hindu,,,,,,,,,
Erode,GEN,CommunistPartyof,619325,BharatiyaJanataParty,521073,98252,38057,1178455,1225588,47133,Others,,,,,,,,,
Etah,ST,JharkhandMuktiMorcha,339542,BharatiyaJanataParty,224527,115015,24897,588966,618324,29358,Muslim,,,,,,,,,
Etawah,GEN,BharatiyaJanataParty,382757,INC,321289,61468,34874,738920,749290,10370,Others,,,,,,,,,
Faizabad,SC,CommunistPartyof,505250,BharatiyaJanataParty,227742,277508,34296,767288,810226,42938,Hindu,,,,,,,,,
Faridabad,GEN,INC,669527,BharatiyaJanataParty,439748,229779,30094,1139369,1150943,11574,Hindu,,,,,,,,,
Faridkot,GEN,INC,499191,TeluguDesamParty,375900,123291,22766,897857,930507,32650,Hindu,,,,,,,,,
Farrukhabad,GEN,BharatiyaJanataParty,289559,NationalistCongressParty,281418,8141,20155,591132,614750,23618,Hindu,,,,,,,,,
FatehgarhSahib,GEN,Independent,323042,INC,252943,70099,31417,607402,635354,27952,Others,,,,,,,,,
Fatehpur,GEN,SamajwadiParty,276156,BharatiyaJanataParty,224821,51335,38272,539249,565557,26308,Christian,,,,,,,,,
FatehpurSikri,GEN,SamajwadiParty,367807,BharatiyaJanataParty,177650,190157,25279,570736,606409,35673,Hindu,,,,,,,,,
Ferozpur,GEN,BahujanSamajParty,207285,BharatiyaJanataParty,173799,33486,36170,417254,435411,18157,Christian,,,,,,,,,
Firozabad,GEN,INC,357284,IndianNationalLok,205355,151929,34260,596899,645181,48282,Muslim,,,,,,,,,
Gadchiroli,GEN,ShiromaniAkaliDal,475928,INC,340649,135279,24448,841025,876130,35105,Muslim,,,,,,,,,
Gandhinagar,GEN,SamajwadiParty,176129,INC,173384,2745,21808,371321,428019,56698,Others,,,,,,,,,
Ganganagar,GEN,BahujanSamajParty,163568,SamajwadiParty,111000,52568,23853,298421,338326,39905,Hindu,,,,,,,,,
Garhwal,GEN,ShiromaniAkaliDal,357102,INC,345563,11539,31611,734276,760333,26057,Hindu,,,,,,,,,
Gauhati,SC,SamajwadiParty,212383,BharatiyaJanataParty,157595,54788,26891,396869,444889,48020,Muslim,,,,,,,,,
GautamBuddhNagar,GEN,BharatiyaJanataParty,516120,INC,298982,217138,27875,842977,867998,25021,Muslim,,,,,,,,,
Gaya,SC,BharatiyaJanataParty,331475,INC,324082,7393,25453,681010,709989,28979,Hindu,,,,,,,,,
Ghatal,GEN,BharatiyaJanataParty,257726,INC,206764,50962,25148,489638,519683,30045,Hindu,,,,,,,,,
Ghaziabad,GEN,INC,353250,BharatiyaJanataParty,292099,61151,27102,672451,717450,44999,Muslim,,,,,,,,,
Ghazipur,SC,RashtriyaJanataDal,464829,BharatiyaJanataParty,361895,102934,22673,849397,887755,38358,Hindu,,,,,,,,,
Ghosi,SC,SamajwadiParty,160117,BahujanSamajParty,149805,10312,26549,336471,394678,58207,Hindu,,,,,,,,,
Giridih,GEN,SamajwadiParty,415687,BharatiyaJanataParty,188910,226777,21182,625779,682665,56886,Others,,,,,,,,,
Godda,GEN,SamajwadiParty,201468,BahujanSamajParty,180456,21012,21726,403650,420317,16667,Hindu,,,,,,,,,
Gonda,GEN,JharkhandMuktiMorcha,350255,BharatiyaJanataParty,200461,149794,28276,578992,626515,47523,Hindu,,,,,,,,,
Gopalganj,GEN,INC,426826,AllIndiaAnnaKazhagam,212349,214477,33525,672700,705042,32342,Hindu,,,,,,,,,
Gorakhpur,GEN,INC,373138,BharatiyaJanataParty,346384,26754,23918,743440,771836,28396,Muslim,,,,,,,,,
Gulbarga,GEN,BharatiyaJanataParty,295550,INC,241831,53719,33390,570771,616813,46042,Hindu,,,,,,,,,
Guna,GEN,SamajwadiParty,251947,BharatiyaJanataParty,214949,36998,25991,492887,515612,22725,Christian,,,,,,,,,
Guntur,GEN,RashtriyaJanataDal,336016,JanataDalUnited,143097,192919,36494,515607,545748,30141,Others,,,,,,,,,
Gurdaspur,GEN,BharatiyaJanataParty,353647,SamajwadiParty,211608,142039,36269,601524,640799,39275,Muslim,,,,,,,,,
Gurgaon,GEN,INC,312601,BharatiyaJanataParty,255130,57471,37200,604931,654155,49224,Muslim,,,,,,,,,
Gwalior,GEN,INC,333954,BharatiyaJanataParty,247594,86360,25711,607259,626869,19610,Others,,,,,,,,,
Hajipur,GEN,INC,466221,TeluguDesamParty,336429,129792,31220,833870,882890,49020,Hindu,,,,,,,,,
Hamirpur,GEN,BharatiyaJanataParty,387612,INC,362629,24983,23663,773904,789246,15342,Hindu,,,,,,,,,
Hamirpur,GEN,INC,246467,BharatiyaJanataParty,210603,35864,30832,487902,517105,29203,Christian,,,,,,,,,
Hardoi,SC,LokJanshaktiParty,477495,JanataDalUnited,239694,237801,22161,739350,793679,54329,Hindu,,,,,,,,,
Haridwar,GEN,BharatiyaJanataParty,313243,INC,311628,1615,37934,662805,689018,26213,Hindu,,,,,,,,,
Hassan,GEN,SamajwadiParty,220917,BahujanSamajParty,183763,37154,21099,425779,451283,25504,Muslim,,,,,,,,,
Hathras,GEN,TelanganaRashtraSamithi,496048,TeluguDesamParty,278981,217067,37573,812602,844937,32335,Others,,,,,,,,,
Hatkanangle,GEN,INC,235114,BharatiyaJanataParty,192751,42363,36604,464469,517631,53162,Christian,,,,,,,,,
Haveri,SC,SamajwadiParty,203445,BahujanSamajParty,164242,39203,39888,407575,445526,37951,Muslim,,,,,,,,,
Hazaribagh,SC,SamajwadiParty,157331,BahujanSamajParty,119672,37659,22929,299932,320791,20859,Muslim,,,,,,,,,
Hindupur,GEN,JanataDalSecular,462625,INC,272320,190305,37774,772719,823205,50486,Hindu,,,,,,,,,
Hingoli,SC,BharatiyaJanataParty,175049,BahujanSamajParty,152212,22837,22881,350142,380354,30212,Hindu,,,,,,,,,
Hisar,GEN,CommunistPartyof,356058,BharatiyaJanataParty,250730,105328,30555,637343,647519,10176,Muslim,,,,,,,,,
Hooghly,GEN,INC,419744,TeluguDesamParty,417904,1840,29393,867041,901106,34065,Hindu,,,,,,,,,
Hoshangabad,GEN,NationalistCongressParty,327944,ShivSena,315399,12545,24928,668271,727656,59385,Christian,,,,,,,,,
Hoshiarpur,GEN,INC,407210,IndianNationalLok,224442,182768,37569,669221,688661,19440,Others,,,,,,,,,
Howrah,GEN,CommunistPartyof,496890,AllIndiaTrinamool,329924,166966,33407,860221,871673,11452,Hindu,,,,,,,,,
Hyderabad,GEN,BharatiyaJanataParty,354659,INC,218250,136409,36888,609797,643549,33752,Hindu,,,,,,,,,
Idukki,GEN,BharatiyaJanataParty,289815,CommunistPartyof,185444,104371,29802,505061,543157,38096,Hindu,,,,,,,,,
Indore,GEN,CommunistPartyof,489444,AllIndiaTrinamool,242507,246937,24906,756857,773467,16610,Hindu,,,,,,,,,
InnerManipur,GEN,AllIndiaMajlis,378854,BharatiyaJanataParty,278709,100145,27362,684925,731750,46825,Muslim,,,,,,,,,
Jabalpur,GEN,NationalistCongressParty,422272,ShivSena,321223,101049,24423,767918,809749,41831,Christian,,,,,,,,,
Jadavpur,GEN,KeralaCongress,353905,INC,284521,69384,33490,671916,708447,36531,Hindu,,,,,,,,,
Jagatsinghpur,GEN,BharatiyaJanataParty,508107,INC,314171,193936,29320,851598,864070,12472,Hindu,,,,,,,,,
Jahanabad,GEN,INC,154055,CommunistPartyof,104722,49333,36374,295151,313109,17958,Muslim,,,,,,,,,
Jaipur,GEN,BharatiyaJanataParty,311646,INC,212115,99531,31915,555676,566332,10656,Hindu,,,,,,,,,
JaipurRural,GEN,CommunistPartyof,505396,AllIndiaTrinamool,415728,89668,30489,951613,981515,29902,Muslim,,,,,,,,,
Jajpur,GEN,BijuJanataDal,466383,INC,409121,57262,22367,897871,938953,41082,Christian,,,,,,,,,
Jalandhar,GEN,RashtriyaJanataDal,400063,JanataDalUnited,353625,46438,36168,789856,831245,41389,Muslim,,,,,,,,,
Jalaun,GEN,BharatiyaJanataParty,480730,INC,373544,107186,28162,882436,916721,34285,Others,,,,,,,,,
Jalgaon,SC,BijuJanataDal,452177,INC,400711,51466,29393,882281,928326,46045,Christian,,,,,,,,,
Jalna,SC,BharatiyaJanataParty,195228,SamajwadiParty,168437,26791,23261,386926,440883,53957,Hindu,,,,,,,,,
Jalore,GEN,SamajwadiParty,287091,BharatiyaJanataParty,181023,106068,24430,492544,539259,46715,Others,,,,,,,,,
Jalpaiguri,GEN,BharatiyaJanataParty,298865,INC,278219,20646,23936,601020,655909,54889,Hindu,,,,,,,,,
Jammu,GEN,BharatiyaJanataParty,369630,INC,308298,61332,37002,714930,774324,59394,Hindu,,,,,,,,,
Jamnagar,SC,BharatiyaJanataParty,321255,INC,282063,39192,25126,628444,685860,57416,Muslim,,,,,,,,,
Jamshedpur,GEN,CommunistPartyof,424163,AllIndiaTrinamool,243558,180605,37214,704935,717577,12642,Christian,,,,,,,,,
Jamui,GEN,INC,319994,BharatiyaJanataParty,302426,17568,31577,653997,701085,47088,Muslim,,,,,,,,,
Jangipur,GEN,INC,204468,BharatiyaJanataParty,198875,5593,36848,440191,492883,52692,Others,,,,,,,,,
Janjgir,GEN,JharkhandMuktiMorcha,396056,BharatiyaJanataParty,290423,105633,33756,720235,742254,22019,Christian,,,,,,,,,
Jaunpur,GEN,INC,431647,CommunistPartyof,394787,36860,24066,850500,904159,53659,Others,,,,,,,,,
Jaynagar,GEN,BharatiyaJanataParty,303655,INC,292326,11329,38455,634436,679683,45247,Hindu,,,,,,,,,
JhalawarBaran,GEN,SamajwadiParty,219614,BahujanSamajParty,192489,27125,25481,437584,473958,36374,Muslim,,,,,,,,,
Jhanjharpur,ST,INC,322257,BharatiyaJanataParty,241975,80282,21873,586105,640704,54599,Hindu,,,,,,,,,
Jhansi,GEN,BharatiyaJanataParty,303845,INC,222266,81579,21272,547383,570161,22778,Hindu,,,,,,,,,
Jhargram,GEN,RashtriyaJanataDal,323400,JanataDalUnited,310565,12835,26572,660537,698446,37909,Christian,,,,,,,,,
Jhunjhunu,GEN,SamajwadiParty,238782,BahujanSamajParty,212483,26299,36691,487956,509990,22034,Christian,,,,,,,,,
Jodhpur,ST,CommunistPartyof,509045,AllIndiaTrinamool,157702,351343,24231,690978,741118,50140,Others,,,,,,,,,
Jorhat,GEN,INC,274168,BharatiyaJanataParty,250813,23355,39892,564873,615492,50619,Christian,,,,,,,,,
Junagadh,GEN,BharatiyaJanataParty,434352,INC,391857,42495,22274,848483,865203,16720,Hindu,,,,,,,,,
Kachchh,GEN,INC,223624,CommunistPartyof,172332,51292,38730,434686,462855,28169,Muslim,,,,,,,,,
Kadapa,SC,RevolutionarySocialistParty,450043,BharatiyaJanataParty,219522,230521,24804,694369,725249,30880,Muslim,,,,,,,,,
Kairana,GEN,INC,344619,ShiromaniAkaliDal,311156,33463,31320,687095,745953,58858,Others,,,,,,,,,
Kaiserganj,GEN,INC,329712,BharatiyaJanataParty,288791,40921,35002,653505,687908,34403,Hindu,,,,,,,,,
Kakinada,GEN,INC,244037,BharatiyaJanataParty,187288,56749,24519,455844,496497,40653,Others,,,,,,,,,
Kalahandi,GEN,RashtriyaLokDal,523923,BahujanSamajParty,181509,342414,38752,744184,771088,26904,Others,,,,,,,,,
Kaliabor,GEN,SamajwadiParty,219920,BharatiyaJanataParty,207260,12660,20313,447493,470580,23087,Muslim,,,,,,,,,
Kallakurichi,GEN,INC,410982,TeluguDesamParty,353730,57252,31873,796585,815534,18949,Muslim,,,,,,,,,
Kalyan,GEN,BharatiyaJanataParty,357079,INC,322957,34122,30337,710373,743969,33596,Hindu,,,,,,,,,
Kancheepuram,GEN,INC,301893,AsomGanaParishad,234695,67198,21534,558122,595243,37121,Hindu,,,,,,,,,
Kandhamal,GEN,INC,584238,BharatiyaJanataParty,467575,116663,35214,1087027,1126648,39621,Christian,,,,,,,,,
Kangra,GEN,BharatiyaJanataParty,433174,INC,260948,172226,39558,733680,776225,42545,Hindu,,,,,,,,,
Kanker,GEN,INC,314555,BharatiyaJanataParty,296764,17791,32110,643429,656049,12620,Hindu,,,,,,,,,
Kannauj,ST,BharatiyaJanataParty,274294,INC,200668,73626,20208,495170,529226,34056,Hindu,,,,,,,,,
Kannur,GEN,SamajwadiParty,464367,BahujanSamajParty,156994,307373,38418,659779,703826,44047,Muslim,,,,,,,,,
KanpurUrban,GEN,INC,211109,BharatiyaJanataParty,198793,12316,33899,443801,478142,34341,Christian,,,,,,,,,
Kanthi,GEN,INC,320338,BharatiyaJanataParty,240903,79435,33374,594615,606660,12045,Others,,,,,,,,,
Kanyakumari,GEN,NationalistCongressParty,436732,ShivSena,240002,196730,38749,715483,747918,32435,Hindu,,,,,,,,,
Karakat,SC,INC,321059,BharatiyaJanataParty,229111,91948,26810,576980,604654,27674,Hindu,,,,,,,,,
KarauliDholpur,GEN,TelanganaRashtraSamithi,451199,BharatiyaJanataParty,320031,131168,33013,804243,817952,13709,Muslim,,,,,,,,,
Karimganj,GEN,INC,318948,BharatiyaJanataParty,154186,164762,22876,496010,537592,41582,Christian,,,,,,,,,
Karimnagar,SC,INC,138596,BharatiyaJanataParty,100967,37629,21953,261516,290899,29383,Hindu,,,,,,,,,
Karnal,GEN,DravidaMunnetraKazhagam,450407,AllIndiaAnnaKazhagam,259531,190876,37242,747180,784342,37162,Others,,,,,,,,,
Karur,GEN,CommunistPartyof,437284,INC,329028,108256,30337,796649,833483,36834,Christian,,,,,,,,,
Kasaragod,GEN,BharatiyaJanataParty,288922,NationalistCongressParty,286357,2565,27406,602685,632454,29769,Hindu,,,,,,,,,
Katihar,GEN,CommunistPartyof,494716,AllIndiaTrinamool,351367,143349,37879,883962,922893,38931,Hindu,,,,,,,,,
Kaushambi,GEN,BijuJanataDal,453276,INC,366433,86843,36193,855902,913919,58017,Christian,,,,,,,,,
Kendrapara,ST,BharatiyaJanataParty,355702,INC,306493,49209,38166,700361,743854,43493,Hindu,,,,,,,,,
Keonjhar,GEN,RashtriyaJanataDal,322440,JanataDalUnited,255317,67123,26340,604097,663023,58926,Hindu,,,,,,,,,
KhadoorSahib,GEN,BharatiyaJanataParty,332458,INC,220677,111781,36669,589804,636172,46368,Hindu,,,,,,,,,
Khagaria,GEN,BahujanSamajParty,234712,SamajwadiParty,207689,27023,39015,481416,524737,43321,Hindu,,,,,,,,,
Khajuraho,GEN,INC,518047,TeluguDesamParty,409159,108888,23954,951160,981705,30545,Muslim,,,,,,,,,
Khammam,GEN,BharatiyaJanataParty,336724,INC,233987,102737,35607,606318,664697,58379,Hindu,,,,,,,,,
Khandwa,GEN,BharatiyaJanataParty,321762,INC,263145,58617,28493,613400,628574,15174,Hindu,,,,,,,,,
Khargone,GEN,ShivSena,360501,NationalistCongressParty,339691,20810,24577,724769,756896,32127,Hindu,,,,,,,,,
Kheda,GEN,SamajwadiParty,224602,BahujanSamajParty,212842,11760,35637,473081,493148,20067,Muslim,,,,,,,,,
Kheri,ST,INC,218158,BharatiyaJanataParty,166932,51226,24688,409778,424163,14385,Muslim,,,,,,,,,
Khunti,SC,BharatiyaJanataParty,214701,BahujanSamajParty,173551,41150,27107,415359,442219,26860,Hindu,,,,,,,,,
Kishanganj,GEN,RashtriyaJanataDal,420331,BharatiyaJanataParty,259834,160497,37261,717426,728525,11099,Others,,,,,,,,,
Kodarma,GEN,BharatiyaJanataParty,366656,JharkhandMuktiMorcha,211712,154944,33783,612151,634533,22382,Christian,,,,,,,,,
Kokrajhar,ST,Independent,689620,Independent,205491,484129,31149,926260,960831,34571,Others,,,,,,,,,
Kolar,GEN,INC,312225,PeasantsandWorkersIndia,280355,31870,38393,630973,662713,31740,Muslim,,,,,,,,,
Kolhapur,SC,INC,385582,BharatiyaJanataParty,373947,11635,38778,798307,834168,35861,Christian,,,,,,,,,
KolkataDakshin,GEN,NationalistCongressParty,401922,ShivSena,387169,14753,34710,823801,860755,36954,Christian,,,,,,,,,
KolkataUttar,GEN,INC,356688,ShivSena,269357,87331,24938,650983,665368,14385,Hindu,,,,,,,,,
Kollam,GEN,INC,356158,BharatiyaJanataParty,312535,43623,24553,693246,735303,42057,Muslim,,,,,,,,,
Koppal,ST,INC,334748,BijuJanataDal,291481,43267,26129,652358,667844,15486,Christian,,,,,,,,,
Koraput,GEN,BharatiyaJanataParty,298314,INC,226536,71778,33103,557953,606803,48850,Hindu,,,,,,,,,
Korba,GEN,CommunistPartyof,341213,INC,298299,42914,25899,665411,719116,53705,Muslim,,,,,,,,,
Kota,GEN,CommunistPartyof,397561,BharatiyaJanataParty,377174,20387,38178,812913,829011,16098,Christian,,,,,,,,,
Kottayam,GEN,DravidaMunnetraKazhagam,403297,AllIndiaAnnaKazhagam,284075,119222,37578,724950,779417,54467,Christian,,,,,,,,,
Kozhikode,GEN,INC,433529,TeluguDesamParty,332431,101098,39172,805132,853475,48343,Christian,,,,,,,,,
Krishnagiri,GEN,INC,362054,IndianNationalLok,201864,160190,34886,598804,639870,41066,Muslim,,,,,,,,,
Krishnanagar,GEN,BharatiyaJanataParty,221057,INC,192067,28990,33037,446161,504454,58293,Others,,,,,,,,,
Kurnool,GEN,Independent,66839,Jammu&Kashmir,41126,25713,34522,142487,167684,25197,Muslim,,,,,,,,,
Kurukshetra,GEN,AsomGanaParishad,300865,INC,272717,28148,37088,610670,645276,34606,Hindu,,,,,,,,,
KushiNagar,ST,JanataDalUnited,15597,INC,15526,71,31406,62529,108139,45610,Muslim,,,,,,,,,
Ladakh,SC,SamajwadiParty,283473,BahujanSamajParty,240742,42731,23791,548006,587672,39666,Others,,,,,,,,,
Lakhimpur,GEN,BharatiyaJanataParty,404500,INC,373609,30891,34877,812986,828653,15667,Hindu,,,,,,,,,
Lakshadweep,ST,INC,223920,BharatiyaJanataParty,133665,90255,38086,395671,406059,10388,Hindu,,,,,,,,,
Lalganj,GEN,BharatiyaJanataParty,324714,SamajwadiParty,106339,218375,24431,455484,492779,37295,Christian,,,,,,,,,
Latur,GEN,ShiromaniAkaliDal,329234,INC,299694,29540,20973,649901,667578,17677,Christian,,,,,,,,,
Lohardaga,GEN,BahujanSamajParty,237438,SamajwadiParty,182056,55382,25517,445011,485278,40267,Others,,,,,,,,,
Lucknow,GEN,INC,387127,TeluguDesamParty,336786,50341,26579,750492,775218,24726,Hindu,,,,,,,,,
Ludhiana,GEN,RashtriyaJanataDal,344301,JanataDalUnited,274314,69987,35588,654203,694653,40450,Muslim,,,,,,,,,
Machhlishahr,GEN,INC,328182,BharatiyaJanataParty,241103,87079,34550,603835,619024,15189,Others,,,,,,,,,
Machilipatnam,GEN,DravidaMunnetraKazhagam,316329,AllIndiaAnnaKazhagam,182151,134178,29083,527563,566179,38616,Muslim,,,,,,,,,
Madha,GEN,DravidaMunnetraKazhagam,570122,BharatiyaJanataParty,316583,253539,21495,908200,948357,40157,Muslim,,,,,,,,,
Madhepura,GEN,DravidaMunnetraKazhagam,564578,AllIndiaAnnaKazhagam,343838,220740,22191,930607,961617,31010,Others,,,,,,,,,
Madhubani,GEN,CommunistPartyof,414433,AllIndiaAnnaKazhagam,281593,132840,23450,719476,733849,14373,Others,,,,,,,,,
Madurai,GEN,INC,428764,TeluguDesamParty,380857,47907,34575,844196,884774,40578,Hindu,,,,,,,,,
Mahabubabad,GEN,JanataDalUnited,283506,RashtriyaJanataDal,237041,46465,31369,551916,564143,12227,Christian,,,,,,,,,
Maharajganj,GEN,BharatiyaJanataParty,228702,SamajwadiParty,163903,64799,22688,415293,469088,53795,Muslim,,,,,,,,,
Maharajganj,GEN,INC,414647,BharatiyaJanataParty,296142,118505,38790,749579,767538,17959,Christian,,,,,,,,,
Mahasamund,GEN,INC,358714,BharatiyaJanataParty,148373,210341,34125,541212,585042,43830,Christian,,,,,,,,,
Mahbubnagar,GEN,SamajwadiParty,460470,BahujanSamajParty,122600,337870,37907,620977,639699,18722,Hindu,,,,,,,,,
Mahesana,GEN,INC,412913,CommunistPartyof,301805,111108,27555,742273,764281,22008,Hindu,,,,,,,,,
Mainpuri,ST,BharatiyaJanataParty,218259,JanataDalSecular,213731,4528,38742,470732,499019,28287,Hindu,,,,,,,,,
Malappuram,GEN,INC,357623,BharatiyaJanataParty,291057,66566,23214,671894,714500,42606,Others,,,,,,,,,
MaldahaDakshin,ST,BharatiyaJanataParty,238073,GondwanaGanatantraParty,173176,64897,20838,432087,468234,36147,Hindu,,,,,,,,,
MaldahaUttar,GEN,BharatiyaJanataParty,423478,INC,283845,139633,29053,736376,758529,22153,Hindu,,,,,,,,,
Malkajgiri,ST,INC,386592,BharatiyaJanataParty,213210,173382,30860,630662,654870,24208,Hindu,,,,,,,,,
Mandi,GEN,INC,411116,JanataDalSecular,286678,124438,23781,721575,749977,28402,Christian,,,,,,,,,
Mandla,GEN,BharatiyaJanataParty,345863,INC,315997,29866,39303,701163,717218,16055,Muslim,,,,,,,,,
Mandsaur,GEN,BharatiyaJanataParty,384760,INC,351345,33415,24322,760427,774075,13648,Hindu,,,,,,,,,
Mandya,GEN,CommunistPartyof,426920,MuslimLeagueKerala,379177,47743,34241,840338,886499,46161,Christian,,,,,,,,,
Mangaldoi,GEN,INC,187400,BahujanSamajParty,149268,38132,26436,363104,379503,16399,Muslim,,,,,,,,,
Mathura,SC,CommunistPartyof,440862,AllIndiaTrinamool,358834,82028,39487,839183,875513,36330,Others,,,,,,,,,
Mathurapur,GEN,CommunistPartyof,278281,INC,270867,7414,26565,575713,629927,54214,Others,,,,,,,,,
Maval,GEN,INC,411160,AllIndiaAnnaKazhagam,215469,195691,26573,653202,680344,27142,Others,,,,,,,,,
Mavelikkara,ST,JharkhandMuktiMorcha,260529,BharatiyaJanataParty,252557,7972,37443,550529,603570,53041,Others,,,,,,,,,
Mayiladuthurai,GEN,TelanganaRashtraSamithi,453738,BharatiyaJanataParty,329972,123766,21392,805102,817432,12330,Muslim,,,,,,,,,
Mayurbhanj,GEN,BahujanSamajParty,252518,RashtriyaLokDal,183182,69336,33165,468865,503473,34608,Others,,,,,,,,,
Medak,GEN,INC,339643,BharatiyaJanataParty,325132,14511,38267,703042,725175,22133,Others,,,,,,,,,
Medinipur,GEN,CommunistPartyof,480034,BharatiyaJanataParty,319274,160760,34228,833536,885208,51672,Hindu,,,,,,,,,
Meerut,GEN,INC,572169,TeluguDesamParty,355262,216907,37711,965142,1011109,45967,Christian,,,,,,,,,
Mirzapur,GEN,BahujanSamajParty,201942,BharatiyaJanataParty,165530,36412,26278,393750,418589,24839,Christian,,,,,,,,,
Misrikh,SC,BahujanSamajParty,207062,SamajwadiParty,187659,19403,20455,415176,445951,30775,Others,,,,,,,,,
Mizoram,ST,MizoNationalFront,182864,Independent,159170,23694,39531,381565,433763,52198,Others,,,,,,,,,
Mohanlalganj,SC,SamajwadiParty,148578,BahujanSamajParty,146010,2568,33410,327998,345884,17886,Hindu,,,,,,,,,
Moradabad,GEN,RashtriyaJanataDal,453286,JanataDalUnited,337359,115927,36113,826758,857940,31182,Others,,,,,,,,,
Morena,GEN,SamajwadiParty,218079,BharatiyaJanataParty,182239,35840,24558,424876,474420,49544,Hindu,,,,,,,,,
MumbaiNorth,SC,BharatiyaJanataParty,261337,INC,114017,147320,29770,405124,427665,22541,Hindu,,,,,,,,,
MumbaiNorthCentral,GEN,INC,164432,BharatiyaJanataParty,113908,50524,36853,315193,336982,21789,Hindu,,,,,,,,,
MumbaiNorthEast,GEN,RashtriyaJanataDal,348596,BharatiyaJanataParty,251572,97024,35165,635333,660405,25072,Christian,,,,,,,,,
MumbaiNorthWest,GEN,CommunistPartyof,375175,INC,258078,117097,24604,657857,680494,22637,Hindu,,,,,,,,,
MumbaiSouth,GEN,INC,559763,BharatiyaJanataParty,511492,48271,22595,1093850,1134052,40202,Muslim,,,,,,,,,
MumbaiSouthCentral,GEN,INC,256282,ShivSena,242953,13329,35647,534882,575770,40888,Muslim,,,,,,,,,
Munger,GEN,INC,493420,BharatiyaJanataParty,394020,99400,25309,912749,936070,23321,Hindu,,,,,,,,,
Murshidabad,GEN,INC,385755,ShivSena,338397,47358,26418,750570,792667,42097,Others,,,,,,,,,
Muzaffarnagar,GEN,INC,137956,BharatiyaJanataParty,127710,10246,25363,291029,318205,27176,Others,,,,,,,,,
Muzaffarpur,GEN,ShivSena,128536,NationalistCongressParty,106348,22188,28421,263305,296869,33564,Others,,,,,,,,,
Mysore,GEN,INC,461895,CommunistPartyof,446415,15480,30550,938860,974795,35935,Hindu,,,,,,,,,
Nabarangpur,GEN,IndianFederalDemocratic,256411,CommunistPartyof,255882,529,27937,540230,580852,40622,Christian,,,,,,,,,
Nagaland,GEN,SamajwadiParty,306225,BharatiyaJanataParty,237220,69005,23913,567358,620385,53027,Muslim,,,,,,,,,
Nagapattinam,GEN,JanataDalUnited,370127,RashtriyaJanataDal,360434,9693,36244,766805,788150,21345,Muslim,,,,,,,,,
Nagarkurnool,GEN,BharatiyaJanataParty,316442,JanataDalSecular,306292,10150,29021,651755,673036,21281,Hindu,,,,,,,,,
Nagaur,SC,CommunistPartyof,560176,AllIndiaTrinamool,550185,9991,23286,1133647,1165665,32018,Muslim,,,,,,,,,
Nagina,GEN,NagaPeople'sFront,698128,INC,246109,452019,30799,975036,1013482,38446,Others,,,,,,,,,
Nagpur,SC,DravidaMunnetraKazhagam,463389,AllIndiaAnnaKazhagam,247166,216223,24038,734593,789411,54818,Hindu,,,,,,,,,
NainitalUdhamsinghNagar,SC,TeluguDesamParty,405046,Independent,305396,99650,39048,749490,803388,53898,Muslim,,,,,,,,,
Nalanda,GEN,BharatiyaJanataParty,284657,INC,214030,70627,36812,535499,550741,15242,Hindu,,,,,,,,,
Nalgonda,GEN,CommunistPartyof,410091,BharatiyaJanataParty,245797,164294,25965,681853,721093,39240,Muslim,,,,,,,,,
Namakkal,GEN,INC,373769,BharatiyaJanataParty,274286,99483,36446,684501,716906,32405,Christian,,,,,,,,,
Nanded,GEN,INC,275658,BharatiyaJanataParty,226474,49184,21014,523146,574672,51526,Christian,,,,,,,,,
